Lr: 4.718e-03 | Update: 5.637e-04 mean,1.121e-03 std | Epoch: [0][750/1594] | Time 3.981 (3.921) | Data 0.511 (0.525) | Loss 0.1331 (0.4114) | acc 0.249 (0.136) | IoU 0.240 (0.132) | [12 days, 6:20:14]
Lr: 4.780e-03 | Update: 9.129e-04 mean,1.773e-03 std | Epoch: [0][760/1594] | Time 3.911 (3.921) | Data 0.503 (0.525) | Loss 0.1999 (0.4080) | acc 0.251 (0.138) | IoU 0.242 (0.133) | [12 days, 6:20:52]
Lr: 4.843e-03 | Update: 5.164e-04 mean,1.027e-03 std | Epoch: [0][770/1594] | Time 4.140 (3.922) | Data 0.503 (0.525) | Loss 0.1584 (0.4047) | acc 0.254 (0.139) | IoU 0.245 (0.135) | [12 days, 6:23:58]
Lr: 4.906e-03 | Update: 7.525e-04 mean,1.443e-03 std | Epoch: [0][780/1594] | Time 3.875 (3.922) | Data 0.514 (0.525) | Loss 0.1346 (0.4013) | acc 0.257 (0.141) | IoU 0.247 (0.136) | [12 days, 6:22:19]
Lr: 4.969e-03 | Update: 7.560e-04 mean,1.399e-03 std | Epoch: [0][790/1594] | Time 3.976 (3.922) | Data 0.536 (0.525) | Loss 0.1501 (0.3979) | acc 0.259 (0.142) | IoU 0.250 (0.138) | [12 days, 6:22:07]
Lr: 5.031e-03 | Update: 7.090e-04 mean,1.286e-03 std | Epoch: [0][800/1594] | Time 3.903 (3.922) | Data 0.509 (0.525) | Loss 0.1181 (0.3946) | acc 0.262 (0.144) | IoU 0.252 (0.139) | [12 days, 6:21:45]
Lr: 5.094e-03 | Update: 5.372e-04 mean,1.013e-03 std | Epoch: [0][810/1594] | Time 3.980 (3.922) | Data 0.502 (0.525) | Loss 0.1187 (0.3912) | acc 0.265 (0.145) | IoU 0.255 (0.141) | [12 days, 6:20:36]
Lr: 5.157e-03 | Update: 6.088e-04 mean,1.237e-03 std | Epoch: [0][820/1594] | Time 3.753 (3.922) | Data 0.508 (0.525) | Loss 0.1248 (0.3880) | acc 0.267 (0.147) | IoU 0.257 (0.142) | [12 days, 6:18:05]
Lr: 5.220e-03 | Update: 1.313e-03 mean,2.372e-03 std | Epoch: [0][830/1594] | Time 3.926 (3.922) | Data 0.536 (0.525) | Loss 0.1483 (0.3850) | acc 0.270 (0.148) | IoU 0.260 (0.143) | [12 days, 6:17:15]
Lr: 5.282e-03 | Update: 2.491e-03 mean,4.648e-03 std | Epoch: [0][840/1594] | Time 3.885 (3.922) | Data 0.509 (0.525) | Loss 0.1679 (0.3819) | acc 0.272 (0.149) | IoU 0.262 (0.145) | [12 days, 6:16:17]
Lr: 5.345e-03 | Update: 9.077e-04 mean,1.769e-03 std | Epoch: [0][850/1594] | Time 3.889 (3.921) | Data 0.500 (0.524) | Loss 0.1119 (0.3789) | acc 0.275 (0.151) | IoU 0.265 (0.146) | [12 days, 6:12:20]
Lr: 5.408e-03 | Update: 7.536e-04 mean,1.423e-03 std | Epoch: [0][860/1594] | Time 3.909 (3.921) | Data 0.523 (0.524) | Loss 0.1107 (0.3759) | acc 0.277 (0.152) | IoU 0.267 (0.148) | [12 days, 6:10:55]
Lr: 5.471e-03 | Update: 7.903e-04 mean,1.351e-03 std | Epoch: [0][870/1594] | Time 3.995 (3.921) | Data 0.509 (0.524) | Loss 0.1113 (0.3729) | acc 0.279 (0.154) | IoU 0.269 (0.149) | [12 days, 6:10:17]
Lr: 5.533e-03 | Update: 9.015e-04 mean,1.610e-03 std | Epoch: [0][880/1594] | Time 3.962 (3.921) | Data 0.513 (0.524) | Loss 0.1140 (0.3699) | acc 0.282 (0.155) | IoU 0.271 (0.150) | [12 days, 6:10:03]
